Price,Close,High,Low,Open,Volume
Ticker,SAN.MC,SAN.MC,SAN.MC,SAN.MC,SAN.MC
Date,,,,,
2000-05-25,2.5347132682800293,2.5347132682800293,2.4428932220147117,2.4694727301110695,8360912
2000-05-26,2.486387252807617,2.5129667645244718,2.4646404037890766,2.4791383918840166,5807143
2000-05-29,2.665193557739258,2.665193557739258,2.665193557739258,2.665193557739258,0
2000-05-30,2.517798662185669,2.5347128433664956,2.4573907961833856,2.4984680172660627,8586728
2000-05-31,2.5395450592041016,2.5516268445504107,2.49121898280942,2.5395450592041016,8209328
2000-06-01,2.633781671524048,2.633781671524048,2.5202148008895953,2.525047462006769,10039805
2000-06-02,2.6289501190185547,2.6579458317012548,2.5878726153242804,2.6120359310996664,14161057
2000-06-05,2.624116897583008,2.6579452662238046,2.616868037516468,2.6555290682841934,6982742
2000-06-06,2.5540435314178467,2.63619851603021,2.52988048858905,2.6337820519987165,10923693
2000-06-07,2.5975375175476074,2.5999537153591232,2.4960521507577726,2.5467947010288436,9849801
2000-06-08,2.6217000484466553,2.6337815676392298,2.5878714219607497,2.6192838511071965,8613897
2000-06-09,2.5661239624023438,2.6337809328191586,2.5661239624023438,2.621699416538591,9285829
2000-06-12,2.5371298789978027,2.59270536837719,2.5008853071716426,2.585456241013762,7653153
2000-06-13,2.5298807621002197,2.5830395153202237,2.525048099762452,2.558876469879105,7773472
2000-06-14,2.561292886734009,2.578207073237305,2.5177994544739186,2.5419625019792735,12226421
2000-06-15,2.6047873497009277,2.6047873497009277,2.532297660824455,2.5443791868879364,12749979
2000-06-16,2.633781671524048,2.633781671524048,2.563708484696507,2.5975371125167226,27723583
2000-06-19,2.665193557739258,2.665193557739258,2.665193557739258,2.665193557739258,0
2000-06-20,2.5733747482299805,2.609619856740494,2.5733747482299805,2.6072033919241644,8990964
2000-06-21,2.5371298789978027,2.585456241013762,2.52988101788212,2.5637093914189677,10625113
2000-06-22,2.609619379043579,2.6192847040440856,2.5516276952882673,2.5612927540410464,8573923
2000-06-23,2.5854554176330566,2.631365566738863,2.561292111196406,2.6168675828768726,6318510
2000-06-26,2.626532554626465,2.6434467337490686,2.587871269491798,2.5975368570230897,7487362
2000-06-27,2.633781671524048,2.6386143326412217,2.5927044513995487,2.5927044513995487,6215511
2000-06-28,2.631366729736328,2.64103179033504,2.6072034126201027,2.631366729736328,7977850
2000-06-29,2.602369546890259,2.626532584123158,2.5661244585456537,2.624116120651291,21764330
2000-06-30,2.670027017593384,2.670027017593384,2.5927052156688863,2.6120355995880784,16474931
2000-07-03,2.6555285453796387,2.670026262657949,2.6241163808638746,2.648279686740483,8415481
2000-07-04,2.718353033065796,2.737683414540935,2.6361985789868325,2.6361985789868325,11513362
2000-07-05,2.662778615951538,2.7787617382046657,2.6603624173879994,2.706272320077433,30376832
2000-07-06,2.6941895484924316,2.720768785387496,2.6651938479038555,2.6651938479038555,10992199
2000-07-07,2.665193557739258,2.665193557739258,2.665193557739258,2.665193557739258,0
2000-07-10,2.735269069671631,2.754599464241893,2.713522209375163,2.7183548745796977,14384234
2000-07-11,2.7207701206207275,2.7521823003185197,2.6796928801486626,2.730435447642784,18557170
2000-07-12,2.6941895484924316,2.7086872656628938,2.660361186764484,2.660361186764484,39633609
2000-07-13,2.7159368991851807,2.723185759128108,2.665194347089283,2.6821085311212487,37720186
2000-07-14,2.718353033065796,2.725601892838011,2.6966061875014535,2.6966061875014535,26078536
2000-07-17,2.686941146850586,2.72076951768345,2.674859623874238,2.7183533195872704,17443052
2000-07-18,2.6941895484924316,2.713519926802265,2.6772753676284577,2.6772753676284577,19847394
2000-07-19,2.701439380645752,2.70868824184339,2.6821089953694672,2.699023182329122,10192312
2000-07-20,2.711103916168213,2.713520113780563,2.691773270278726,2.7086874523081916,10573845
2000-07-21,2.689356803894043,2.7135198425933944,2.6724426235549683,2.6966056622543197,11110948
2000-07-24,2.665193557739258,2.665193557739258,2.665193557739258,2.665193557739258,0
2000-07-25,2.6941895484924316,2.7352667688056105,2.6941895484924316,2.713519926802265,14571941
2000-07-26,2.7159368991851807,2.732851083217146,2.6941900531086955,2.701438913051623,13522791
2000-07-27,2.665193557739258,2.665193557739258,2.665193557739258,2.665193557739258,0
2000-07-28,2.6917736530303955,2.7062716395090245,2.6869409908708524,2.6941901172340215,10592216
2000-07-31,2.7080438137054443,2.7080438137054443,2.676442042876662,2.698320336142674,11728374
2000-08-01,2.7007501125335693,2.7153357251220647,2.691026370807906,2.703180914036528,9726665
2000-08-02,2.746262311935425,2.7511532858406915,2.709580411836376,2.712025764058859,9526061
